,Estado,Ref_Area,Ind_Area,Estado_Area,Ref_%,Ind_%
0,BR.AC,0.0,138.00030678257622,217.79240783992546,0.0,63.36323113889472
1,BR.AL,0.0,0.0,631.7206851513685,0.0,0.0
2,BR.AP,0.0,29.663190491106448,155.7326372495327,0.0,19.04751053793347
3,BR.AM,0.0,252.82818980872813,708.9900278575918,0.0,35.660330875558
4,BR.BA,94.56311315024335,0.0,3091.265787422162,3.0590418182417274,0.0
5,BR.CE,0.0,0.0,1866.8649072180294,0.0,0.0
6,BR.DF,196.87001258325955,0.0,597.4588884883475,32.95122331870692,0.0
7,BR.ES,205.47692774557964,0.0,757.0873684376971,27.14045119648419,0.0
8,BR.GO,0.0,81.2740182271368,2098.8757053214817,0.0,3.8722644709772456
9,BR.MA,90.22185722476509,97.06982200129642,1638.5886932807443,5.5060710228706,5.923989491648784
10,BR.MT,0.0,141.8942824579525,1363.120239834082,0.0,10.40952062124936
11,BR.MS,55.82308997260971,0.0,890.0756083671336,6.271724497092847,0.0
12,BR.MG,505.0953494229993,0.0,5128.1431023874675,9.849478443529515,0.0
13,BR.PA,0.17612597662803103,64.93006280854249,1848.267622361466,0.009529246441216187,3.513022790800374
14,BR.PB,0.0,0.0,765.8655048424824,0.0,0.0
15,BR.PR,452.86443068244114,0.0,3416.9485275692823,13.253475345869365,0.0
16,BR.PE,30.915920132215486,0.0,1620.6874984121478,1.9075805892564142,0.0
17,BR.PI,0.0,0.0,1001.497859701852,0.0,0.0
18,BR.RJ,1538.5561618804506,0.0,2905.053546818402,52.9613701463599,0.0
19,BR.RN,0.0,0.0,919.4376911557007,0.0,0.0
20,BR.RS,153.38238099312449,0.0,3675.9361245530927,4.172607352141414,0.0
21,BR.RO,0.0,0.0,553.7393504374852,0.0,0.0
22,BR.RR,0.0,0.0,238.52115200261954,0.0,0.0
23,BR.SC,42.78283993779454,2.7344156638314274,2572.12252541336,1.6633282246505348,0.10630969702316126
24,BR.SP,2616.7824432723583,0.0,8882.053023709954,29.461459375293753,0.0
25,BR.SE,0.0,0.0,485.48192047366854,0.0,0.0
26,BR.TO,0.0,0.0,590.3181756704694,0.0,0.0
